InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,GrossRevenue,DiscountAmount,NetRevenue,TotalOrderValue,Year,Month,YearMonth
221958,SKU_1964,White Mug,38,2020-01-01 00:00:00,1.71,37039,Australia,0.47,Bank Transfer,10.79,Apparel,In-store,Not Returned,UPS,London,Medium,64.98,30.5406,34.439400000000006,45.229400000000005,2020,1,2020-01
771155,SKU_1241,White Mug,18,2020-01-01 01:00:00,41.25,19144,Spain,0.19,PayPal,9.51,Electronics,Online,Not Returned,UPS,Rome,Medium,742.5,141.075,601.425,610.935,2020,1,2020-01
231932,SKU_1501,Headphones,49,2020-01-01 02:00:00,29.11,50472,Germany,0.35,Bank Transfer,23.03,Electronics,Online,Returned,UPS,Berlin,High,1426.3899999999999,499.2364999999999,927.1534999999999,950.1834999999999,2020,1,2020-01
465838,SKU_1760,Desk Lamp,14,2020-01-01 03:00:00,76.68,96586,Netherlands,0.14,PayPal,11.08,Accessories,Online,Not Returned,Royal Mail,Rome,Low,1073.52,150.2928,923.2272,934.3072000000001,2020,1,2020-01
744167,SKU_1006,Office Chair,47,2020-01-01 05:00:00,70.16,53887,Sweden,0.48,Credit Card,13.98,Electronics,Online,Not Returned,DHL,London,Medium,3297.52,1582.8096,1714.7104,1728.6904,2020,1,2020-01
210268,SKU_1087,USB Cable,25,2020-01-01 06:00:00,85.74,46567,Belgium,0.15,Bank Transfer,12.92,Stationery,Online,Not Returned,FedEx,Amsterdam,High,2143.5,321.525,1821.975,1834.895,2020,1,2020-01
832180,SKU_1597,Notebook,8,2020-01-01 07:00:00,95.65,75098,Norway,0.04,Bank Transfer,6.48,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Low,765.2,30.608000000000004,734.5920000000001,741.0720000000001,2020,1,2020-01
154886,SKU_1907,Wireless Mouse,19,2020-01-01 08:00:00,98.19,87950,Belgium,0.05,PayPal,12.56,Apparel,Online,Not Returned,UPS,Berlin,High,1865.61,93.2805,1772.3294999999998,1784.8894999999998,2020,1,2020-01
237337,SKU_1866,Headphones,40,2020-01-01 09:00:00,98.17,39718,Italy,0.16,Bank Transfer,7.71,Apparel,Online,Not Returned,Royal Mail,London,Low,3926.8,628.288,3298.512,3306.222,2020,1,2020-01
621430,SKU_1144,Notebook,49,2020-01-01 10:00:00,87.56,13030,United Kingdom,0.19,PayPal,9.83,Stationery,In-store,Returned,UPS,Paris,Medium,4290.4400000000005,815.1836000000001,3475.2564,3485.0864,2020,1,2020-01
187498,SKU_1450,Office Chair,41,2020-01-01 11:00:00,59.51,32466,Australia,0.39,Bank Transfer,12.0,Furniture,In-store,Not Returned,FedEx,Amsterdam,Low,2439.91,951.5649,1488.3451,1500.3451,2020,1,2020-01
999159,SKU_1330,Blue Pen,41,2020-01-01 12:00:00,25.59,89794,Australia,0.01,Credit Card,15.58,Electronics,In-store,Not Returned,FedEx,Berlin,Medium,1049.19,10.491900000000001,1038.6981,1054.2781,2020,1,2020-01
275203,SKU_1709,Headphones,3,2020-01-01 13:00:00,2.09,97817,Spain,0.47,Credit Card,19.22,Stationery,Online,Not Returned,Royal Mail,Paris,Low,6.27,2.9469,3.3230999999999997,22.5431,2020,1,2020-01
291335,SKU_1874,Wall Clock,29,2020-01-01 14:00:00,35.88,43017,Portugal,0.06,Credit Card,14.85,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High,1040.52,62.4312,978.0888,992.9388,2020,1,2020-01
378167,SKU_1163,T-shirt,16,2020-01-01 15:00:00,82.58,85852,Belgium,0.41,Bank Transfer,27.02,Furniture,In-store,Not Returned,UPS,Amsterdam,High,1321.28,541.7248,779.5552,806.5752,2020,1,2020-01
141090,SKU_1656,Office Chair,7,2020-01-01 16:00:00,70.85,15473,Germany,0.0,Bank Transfer,23.66,Apparel,In-store,Not Returned,FedEx,Paris,High,495.94999999999993,0.0,495.94999999999993,519.6099999999999,2020,1,2020-01
429365,SKU_1341,Headphones,49,2020-01-01 17:00:00,14.91,55644,Netherlands,0.36,Bank Transfer,5.32,Stationery,Online,Not Returned,Royal Mail,Paris,Medium,730.59,263.0124,467.5776,472.8976,2020,1,2020-01
164820,SKU_1000,Backpack,21,2020-01-01 18:00:00,1.07,20566,Sweden,0.49,Bank Transfer,15.09,Accessories,Online,Not Returned,FedEx,London,Medium,22.470000000000002,11.0103,11.459700000000002,26.5497,2020,1,2020-01
887201,SKU_1119,USB Cable,46,2020-01-01 19:00:00,27.03,19819,Spain,0.26,Credit Card,23.8,Furniture,In-store,Returned,UPS,London,Medium,1243.38,323.27880000000005,920.1012000000001,943.9012,2020,1,2020-01
421879,SKU_1578,Wall Clock,43,2020-01-01 20:00:00,77.17,24716,Norway,0.3,Bank Transfer,24.77,Accessories,In-store,Returned,FedEx,Berlin,Low,3318.31,995.4929999999999,2322.817,2347.587,2020,1,2020-01
818315,SKU_1463,Notebook,14,2020-01-01 21:00:00,66.89,16604,Norway,0.42,PayPal,15.05,Furniture,Online,Not Returned,FedEx,Berlin,High,936.46,393.3132,543.1468,558.1967999999999,2020,1,2020-01
427069,SKU_1866,Wireless Mouse,39,2020-01-01 22:00:00,66.18,45103,Sweden,0.07,Bank Transfer,27.02,Accessories,Online,Not Returned,Royal Mail,Paris,High,2581.0200000000004,180.67140000000003,2400.3486000000003,2427.3686000000002,2020,1,2020-01
876997,SKU_1461,T-shirt,24,2020-01-01 23:00:00,70.01,14803,Norway,0.12,Credit Card,13.16,Stationery,Online,Not Returned,Royal Mail,Paris,Low,1680.2400000000002,201.6288,1478.6112000000003,1491.7712000000004,2020,1,2020-01
299041,SKU_1048,T-shirt,48,2020-01-02 00:00:00,27.87,26772,France,0.24,Bank Transfer,19.61,Electronics,Online,Not Returned,UPS,Berlin,Low,1337.76,321.06239999999997,1016.6976,1036.3075999999999,2020,1,2020-01
891743,SKU_1818,Blue Pen,30,2020-01-02 01:00:00,59.53,62114,Germany,0.25,PayPal,23.67,Stationery,Online,Not Returned,DHL,Rome,Low,1785.9,446.475,1339.4250000000002,1363.0950000000003,2020,1,2020-01
203355,SKU_1326,USB Cable,33,2020-01-02 02:00:00,97.96,38576,Italy,0.23,Bank Transfer,7.25,Stationery,Online,Not Returned,Royal Mail,Paris,High,3232.68,743.5164,2489.1636,2496.4136,2020,1,2020-01
335796,SKU_1473,Wall Clock,22,2020-01-02 03:00:00,28.73,60532,Netherlands,0.25,Credit Card,8.44,Apparel,Online,Not Returned,FedEx,Rome,Medium,632.0600000000001,158.01500000000001,474.0450000000001,482.48500000000007,2020,1,2020-01
314176,SKU_1887,Office Chair,10,2020-01-02 04:00:00,86.71,47802,Australia,0.36,Credit Card,16.86,Furniture,Online,Not Returned,DHL,Amsterdam,Low,867.0999999999999,312.15599999999995,554.944,571.804,2020,1,2020-01
284779,SKU_1938,USB Cable,11,2020-01-02 05:00:00,90.69,98066,United States,0.39,Credit Card,25.31,Furniture,Online,Not Returned,DHL,Amsterdam,Medium,997.5899999999999,389.0601,608.5299,633.8399,2020,1,2020-01
447449,SKU_1367,White Mug,15,2020-01-02 06:00:00,40.36,83531,Portugal,0.03,Credit Card,6.14,Stationery,In-store,Not Returned,Royal Mail,Rome,High,605.4,18.162,587.2379999999999,593.3779999999999,2020,1,2020-01
521909,SKU_1286,White Mug,48,2020-01-02 07:00:00,8.39,59307,Netherlands,0.08,Bank Transfer,15.29,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Medium,402.72,32.217600000000004,370.5024,385.79240000000004,2020,1,2020-01
358795,SKU_1023,Headphones,30,2020-01-02 08:00:00,99.31,61358,United Kingdom,0.31,Credit Card,22.31,Accessories,Online,Not Returned,Royal Mail,Berlin,Medium,2979.3,923.5830000000001,2055.717,2078.027,2020,1,2020-01
586232,SKU_1722,Wall Clock,14,2020-01-02 09:00:00,10.32,54696,France,0.01,Credit Card,28.9,Stationery,In-store,Returned,DHL,Rome,Low,144.48000000000002,1.4448000000000003,143.03520000000003,171.93520000000004,2020,1,2020-01
